Gris ID;Sår ID;Tid;Niveau sårvæv;Sårskorpe;Granulationsvæv;Epithelialisering;Kontraktion;Hyperæmi;Ødem;Eksudat;Eksudattype;Infektionsniveau;;;;;;;;
0;A;1 time;1;0;0;0;0;0;0;1;4;1;;;;;;;;
0;B;1 time;1;0;0;0;0;0;0;1;4;1;;;;;;;;
0;C;1 time;1;0;0;0;0;0;0;1;4;1;;;;;;;;
0;D;1 time;1;0;0;0;0;0;0;1;4;1;;;;;;;;
1;A;3 timer;1;1;0;0;0;0;0;0;0;1;;;;;;;;
1;B;3 timer;1;2;0;0;0;0;0;0;0;1;;;;;;;;
1;C;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
1;D;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
2;A;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
2;B;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
2;C;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
2;D;3 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
3;A;6 timer;1;2;0;0;0;0;0;1;4;1;;;;;;;;
3;B;6 timer;1;2;0;0;0;0;0;1;4;1;;;;;;;;
3;C;6 timer;1;0;0;0;0;0;0;1;4;1;;;;;;;;
3;D;6 timer;1;0;0;0;0;0;0;1;4;1;;;;;;;;
4;A;6 timer;1;1;0;0;0;0;0;1;4;1;;;;;;;;
4;B;6 timer;1;0;0;0;0;0;0;1;4;1;;;;;;;;
4;C;6 timer;1;0;0;0;0;0;0;1;4;1;;;;;;;;
4;D;6 timer;1;0;0;0;0;0;0;1;4;1;;;;;;;;
5;A;6 timer;1;2;0;0;0;2;1;1;5;2;;;;;;;;
5;B;6 timer;1;2;0;0;0;2;1;1;5;1;;;;;;;;
5;C;6 timer;1;2;0;0;0;2;1;1;5;1;;;;;;;;
5;D;6 timer;1;2;0;0;0;2;1;1;5;2;;;;;;;;
5;A;12 timer;1;2;0;0;0;2;0;1;5;2;;;;;;;;
5;B;12 timer;1;2;0;0;0;2;0;0;0;1;;;;;;;;
5;C;12 timer;1;2;0;0;0;2;0;1;5;2;;;;;;;;
5;D;12 timer;1;2;0;0;0;2;0;1;5;2;;;;;;;;
6;A;6 timer;1;2;0;0;0;2;1;1;5;1;;;;;;;;
6;B;6 timer;1;2;0;0;0;2;0;1;5;2;;;;;;;;
6;C;6 timer;1;2;0;0;0;2;1;1;5;1;;;;;;;;
6;D;6 timer;1;2;0;0;0;0;1;0;0;2;;;;;;;;
6;A;12 timer;1;2;0;0;0;0;0;0;0;1;;;;;;;;
