Gris ID;Sår ID;Dag;Længde (cm);Bredde (cm);Dybde (cm);Areal (cm^2);Sårrand (cm);Midte (cm);
1;A;0;1.9;1.9;;4.2739;;;
;B;0;1.7;1.9;;3.8244;;;
;C;0;1.7;2.2;;3.6983;;;
;D;0;1.7;1.8;;3.6098;;;
2;A;0;2;2.1;;4.5329;;;
;B;0;1.7;2;;3.5026;;;
;C;0;1.8;2.1;;3.3561;;;
;D;0;1.7;2.1;;3.4186;;;
3;A;0;2;2.1;0.2;3.5462;;;
;B;0;2.1;2.2;0.2;3.9819;;;
;C;0;1.9;2.1;0.4;3.1762;;;
;D;0;1.8;2.2;0.4;3.3872;;;
4;A;0;2.3;2.4;0.3;4.5556;;;
;B;0;2.1;2;0.3;3.9395;;;
;C;0;2.2;2.1;0.4;4.0734;;;
;D;0;1.8;2.2;0.4;3.5912;;;
5;A;0;2.1;2.2;0.25;4.0778;;;
;B;0;2;2.1;0.22;3.8049;;;
;C;0;2.1;2.2;0.4;3.4519;;;
;D;0;1.8;2.1;0.5;3.4423;;;
6;A;0;2.2;2;0.35;4.5394;;;
;B;0;2.1;2.2;0.2;4.1026;;;
;C;0;2;2.2;0.3;3.8408;;;
;D;0;1.8;2.2;0.4;3.4312;;;
7;A;0;2.1;2.2;0.3;4.8100;;;
;B;0;2;2.1;0.3;3.9672;;;
;C;0;2;2.1;0.45;3.7298;;;
;D;0;1.9;2;0.35;3.4960;;;
8;A;0;2.2;2.4;0.4;4.9902;;;
;B;0;2.1;2.5;0.4;4.4969;;;
;C;0;1.7;2.1;0.4;3.6275;;;
;D;0;1.8;2.4;0.5;4.0865;;;
9;A;0;2.2;2.3;0.4;4.9896;;;
;B;0;2.2;2.5;0.3;5.0930;;;
;C;0;2.2;2.4;0.5;4.9132;;;
;D;0;2.3;2.5;0.4;5.3832;;;
10;A;0;2;2.1;0.2;3.8336;;;
;B;0;2.05;2;0.3;3.4688;;;
;C;0;2.1;2.1;0.3;4.1937;;;
;D;0;1.8;2;0.3;2.6211;;;
11;A;0;2.1;2;0.2;2.8987;;;
;B;0;2.1;2;0.3;3.7208;;;
;C;0;1.9;2.2;0.4;3.7602;;;
;D;0;1.9;2;0.3;3.6826;;;
12;A;0;;;;;;;
;B;0;;;;;;;
;C;0;;;;;;;
;D;0;;;;;;;
13;A;0;2.2;2.2;0.2;4.9993;;;
;B;0;2.25;2;0.25;4.7885;;;
;C;0;1.8;2.2;0.4;4.2126;;;
;D;0;2;2.2;0.4;3.8206;;;
14;A;0;2.1;2.1;0.25;4.0532;;;
;B;0;2.1;2.1;0.2;4.0803;;;
;C;0;1.8;2.2;0.4;3.8628;;;
;D;0;1.7;2;0.35;3.5983;;;
15;A;0;;;;;;;
;B;0;;;;;;;
;C;0;;;;;;;
;D;0;;;;;;;
16;A;0;2.15;2.2;0.2;4.3042;;;
;B;0;2;2.2;0.2;4.1754;;;
;C;0;1.9;2.1;0.3;3.7304;;;
;D;0;1.9;2.1;0.2;3.3582;;;
17;A;0;2.1;2.1;0.2;4.4159;;;
;B;0;2;2.1;0.2;4.0515;;;
;C;0;1.95;0.205;0.5;3.3325;;;
;D;0;2;2.2;0.4;3.7609;;;
18;A;0;2.4;2.4;0.3;5.8178;;;
;B;0;2.1;2.4;0.3;4.4803;;;
;C;0;2;2.3;0.5;4.3937;;;
;D;0;1.9;2.4;0.4;3.7140;;;
19;A;0;2;2.3;0.25;4.2061;;;
;B;0;2.1;2.2;0.2;4.3487;;;
;C;0;1.95;2.3;0.5;4.0772;;;
;D;0;1.95;2.3;0.4;4.6281;;;
20;A;0;2.3;2.4;0.4;5.1040;;;
;B;0;2;2.3;0.3;4.1879;;;
;C;0;2;2.3;0.3;4.0741;;;
;D;0;1.8;2.2;0.3;3.8586;;;
21;A;0;2.4;2.3;0.4;5.1661;;;
;B;0;2.2;2.3;0.4;4.9873;;;
;C;0;2.1;2.3;0.5;4.1004;;;
;D;0;2.1;2.4;0.5;4.2111;;;
22;A;0;2.3;2.3;0.25;4.5921;;;
;B;0;2.1;2.2;0.25;3.4809;;;
;C;0;1.85;2.1;0.4;4.1887;;;
;D;0;1.6;1.9;0.4;2.5465;;;
23;A;0;2.2;2.2;0.2;3.8930;;;
;B;0;2.1;2.2;0.2;4.3080;;;
;C;0;1.8;2;0.3;3.3083;;;
;D;0;1.9;2.2;0.35;3.4666;;;
24;A;0;2.2;2.3;0.3;5.0010;;;
;B;0;2.4;2.4;0.3;5.1216;;;
;C;0;2;2.2;0.4;4.1468;;;
;D;0;2.1;2.4;0.4;3.8659;;;
25;A;0;2.1;2.1;0.2;3.6991;;;
;B;0;2;2.2;0.25;3.8418;;;
;C;0;1.9;2.1;0.4;4.0687;;;
;D;0;2.1;2.2;0.4;3.9601;;;
26;A;0;2.1;2.2;0.2;4.1811;;;
;B;0;2;2.1;0.25;4.0300;;;
;C;0;1.9;2;0.4;3.2808;;;
;D;0;1.7;1.9;0.4;3.0826;;;
27;A;0;2;2.1;0.2;3.9426;;;
;B;0;2;2.2;0.2;4.2241;;;
;C;0;1.9;2.1;0.4;4.0425;;;
;D;0;1.9;2;0.35;3.5452;;;
28;A;0;2.3;2.2;0.3;4.8379;;;
;B;0;2.1;2.1;0.3;4.0889;;;
;C;0;1.75;2.15;0.4;4.0401;;;
;D;0;1.8;2.1;0.45;3.8130;;;
29;A;0;2.3;2.1;0.3;3.9701;;;
;B;0;2.2;2.3;0.3;4.6823;;;
;C;0;2;2.3;0.3;4.0714;;;
;D;0;1.9;2.1;0.3;3.4378;;;
30;A;0;2.4;2.3;0.4;5.0507;;;
;B;0;2.3;2.5;0.4;4.9932;;;
;C;0;2.1;2.3;0.45;4.5285;;;
;D;0;2.1;2.2;0.4;3.8058;;;
31;A;0;2.2;2.5;0.4;4.8908;;;
;B;0;2.2;2.6;0.4;4.9252;;;
;C;0;2;2.5;0.5;4.7690;;;
;D;0;2;2.4;0.5;4.4054;;;
32;A;0;2;2.3;0.25;4.2402;;;
;B;0;2.2;2.2;0.2;4.3765;;;
;C;0;2;2.3;0.3;3.9573;;;
;D;0;2;2.15;0.3;3.8498;;;
33;A;0;2.2;2.4;0.2;5.4355;;;
;B;0;2.2;2.4;0.2;5.1212;;;
;C;0;2.1;2.4;0.3;4.9534;;;
;D;0;2.2;2.3;0.3;4.6632;;;
34;A;0;2.3;2.3;0.3;4.7111;;;
;B;0;2.2;2.2;0.3;4.3424;;;
;C;0;2;2.1;0.4;4.2673;;;
;D;0;1.8;2.3;0.4;4.2257;;;
35;A;0;2.2;2.3;0.4;4.6005;;;
;B;0;2.2;2.4;0.3;4.9720;;;
;C;0;2;2.2;0.5;4.2054;;;
;D;0;1.8;2.4;0.4;4.4168;;;
36;A;0;2.2;2.3;0.2;4.0729;;;
;B;0;2.3;2.2;0.2;4.5679;;;
;C;0;2.1;2.2;0.3;4.2735;;;
;D;0;2.2;2.3;0.3;3.9070;;;
37;A;0;2.1;2.2;0.4;3.9801;;;
;B;0;2.1;2.3;0.3;4.3696;;;
;C;0;1.9;2.2;0.5;4.3045;;;
;D;0;1.9;2.5;0.4;4.5908;;;
38;A;0;2.1;2.4;0.25;4.5728;;;
;B;0;2;2.3;0.2;4.1614;;;
;C;0;2;2.3;0.4;4.1851;;;
